,Subject,0,Item,0,Condition,0,Word,0,0,0,0,RT,0,0
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,9,0,practice,NULL,1,hogy,muty,1,yes,4866,Az%2C hogy a főpolgármester meglátogatta az új képviselőt%2C senkit nem lepett meg.,4866
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,9,0,practice,NULL,2,a,u,0,yes,1740,Az%2C hogy a főpolgármester meglátogatta az új képviselőt%2C senkit nem lepett meg.,1740
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,9,0,practice,NULL,3,főpolgármester,fúvolnalőzzter,0,no,332,Az%2C hogy a főpolgármester meglátogatta az új képviselőt%2C senkit nem lepett meg.,
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,9,0,practice,NULL,4,meglátogatta,neplákotagga,0,no,,Az%2C hogy a főpolgármester meglátogatta az új képviselőt%2C senkit nem lepett meg.,
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,9,0,practice,NULL,5,az,am,1,no,,Az%2C hogy a főpolgármester meglátogatta az új képviselőt%2C senkit nem lepett meg.,
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,9,0,practice,NULL,6,új,uz,1,no,,Az%2C hogy a főpolgármester meglátogatta az új képviselőt%2C senkit nem lepett meg.,
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,9,0,practice,NULL,7,képviselőt%2C,kérmécetőt%2C,0,no,,Az%2C hogy a főpolgármester meglátogatta az új képviselőt%2C senkit nem lepett meg.,
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,9,0,practice,NULL,8,senkit,sankik,1,no,,Az%2C hogy a főpolgármester meglátogatta az új képviselőt%2C senkit nem lepett meg.,
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,9,0,practice,NULL,9,nem,náp,1,no,,Az%2C hogy a főpolgármester meglátogatta az új képviselőt%2C senkit nem lepett meg.,
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,9,0,practice,NULL,10,lepett,labesz,0,no,,Az%2C hogy a főpolgármester meglátogatta az új képviselőt%2C senkit nem lepett meg.,
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,9,0,practice,NULL,11,meg.,mát.,1,no,,Az%2C hogy a főpolgármester meglátogatta az új képviselőt%2C senkit nem lepett meg.,
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,0,Nyilvánvaló,Nyölvátzáló,0,yes,1936,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,1936
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,1,volt%2C,folp%2C,1,yes,1516,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,1516
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,2,hogy,katy,1,yes,990,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,990
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,3,az,at,0,yes,954,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,954
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,4,időjárás,igívorás,0,yes,1439,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,1439
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,5,jelentés,jerettag,0,yes,1717,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,1717
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,6,ellenére,híbesése,1,yes,1282,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,1282
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,7,idén,odun,1,yes,1219,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,1219
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,8,karácsonykor,karályollhod,1,yes,1226,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,1226
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,9,sem,súl,1,yes,1094,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,1094
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,10,fog,vüg,0,yes,1076,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,1076
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,11,esni,göni,1,yes,935,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,935
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,12,a,ö,1,yes,1670,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,1670
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,10,0,practice,NULL,13,hó.,jé.,0,yes,788,Nyilvánvaló volt%2C hogy az időjárás jelentés ellenére idén karácsonykor sem fog esni a hó.,788
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,0,Az%2C,Iz%2C,0,yes,1483,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,1483
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,1,hogy,muty,1,yes,1139,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,1139
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,2,a,u,1,yes,1260,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,1260
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,3,postás,padtor,1,yes,1420,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,1420
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,4,időben,ikíven,1,yes,1317,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,1317
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,5,átadta,onamta,1,yes,979,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,979
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,6,a,ú,0,yes,910,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,910
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,7,fontos,finted,0,yes,1247,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,1247
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,8,csomagot,csenazol,0,yes,957,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,957
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,9,a,ű,0,yes,896,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,896
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,10,nagykövetnek%2C,gillénketnek%2C,1,yes,1468,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,1468
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,11,megkönnyebbülés,megktrogeppőrás,1,yes,1446,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,1446
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,141,0,Filler-A,35,12,volt.,fürt.,0,yes,987,Az%2C hogy a postás időben átadta a fontos csomagot a nagykövetnek%2C megkönnyebbülés volt.,987
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,0,Annak,Rlcak,0,yes,1142,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,1142
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,1,a,u,1,yes,1053,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,1053
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,2,lehetősége%2C,latelörébe%2C,0,yes,1054,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,1054
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,3,hogy,muty,0,yes,849,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,849
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,4,a,ű,1,yes,924,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,924
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,5,színésznő,szütuszné,0,yes,1022,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,1022
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,6,a,ú,1,yes,903,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,903
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,7,darab,dalav,1,yes,978,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,978
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,8,után,unák,1,yes,889,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,889
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,9,autogramokat,euriksítokat,0,yes,1457,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,1457
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,10,fog,vük,1,yes,733,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,733
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,11,osztani%2C,ogyikki%2C,0,yes,879,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,879
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,12,felvillanyozta,feluttyassomba,0,yes,1274,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,1274
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,13,a,u,0,yes,945,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,945
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,161,0,Filler-C,55,14,rajongót.,romonölj.,1,yes,995,Annak a lehetősége%2C hogy a színésznő a darab után autogramokat fog osztani%2C felvillanyozta a rajongót.,995
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,47,0,Expt-A,10,0,Az,öz,0,yes,738,Az orvos%2C aki meglátogatta a pácienst az ebédszünet előtt%2C leírta a javaslatait.,738
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,47,0,Expt-A,10,1,orvos%2C,olvál%2C,1,yes,1055,Az orvos%2C aki meglátogatta a pácienst az ebédszünet előtt%2C leírta a javaslatait.,1055
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,47,0,Expt-A,10,2,aki,odé,0,yes,901,Az orvos%2C aki meglátogatta a pácienst az ebédszünet előtt%2C leírta a javaslatait.,901
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,47,0,Expt-A,10,3,meglátogatta,neklótagadda,1,yes,985,Az orvos%2C aki meglátogatta a pácienst az ebédszünet előtt%2C leírta a javaslatait.,985
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,47,0,Expt-A,10,4,a,ö,0,yes,1006,Az orvos%2C aki meglátogatta a pácienst az ebédszünet előtt%2C leírta a javaslatait.,1006
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,47,0,Expt-A,10,5,pácienst,bászienst,1,yes,867,Az orvos%2C aki meglátogatta a pácienst az ebédszünet előtt%2C leírta a javaslatait.,867
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,47,0,Expt-A,10,6,az,am,0,yes,1245,Az orvos%2C aki meglátogatta a pácienst az ebédszünet előtt%2C leírta a javaslatait.,1245
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,47,0,Expt-A,10,7,ebédszünet,vaémszímet,0,yes,1136,Az orvos%2C aki meglátogatta a pácienst az ebédszünet előtt%2C leírta a javaslatait.,1136
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,47,0,Expt-A,10,8,előtt%2C,alütt%2C,1,yes,899,Az orvos%2C aki meglátogatta a pácienst az ebédszünet előtt%2C leírta a javaslatait.,899
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,47,0,Expt-A,10,9,leírta,laülta,1,yes,914,Az orvos%2C aki meglátogatta a pácienst az ebédszünet előtt%2C leírta a javaslatait.,914
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,47,0,Expt-A,10,10,a,u,1,yes,1092,Az orvos%2C aki meglátogatta a pácienst az ebédszünet előtt%2C leírta a javaslatait.,1092
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,47,0,Expt-A,10,11,javaslatait.,cégakmerait.,0,yes,908,Az orvos%2C aki meglátogatta a pácienst az ebédszünet előtt%2C leírta a javaslatait.,908
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,0,A,O,0,yes,1280,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1280
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,1,festő,mamtő,1,yes,1003,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1003
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,2,azt,ast,0,yes,1055,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1055
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,3,mondta%2C,fondom%2C,1,yes,1061,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1061
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,4,hogy,muty,1,yes,879,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,879
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,5,legszívesebben,pelszúreseljan,1,yes,1017,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1017
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,6,leköpte,lisócte,0,yes,1268,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1268
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,7,volna,rapna,1,yes,591,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,591
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,8,a,ú,1,yes,822,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,822
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,9,szobrászt,szénrtjat,0,yes,978,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,978
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,10,a,o,0,yes,1330,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1330
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,11,legutóbbi,velutgéni,1,yes,1019,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1019
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,12,közös,kösön,0,yes,945,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,945
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,168,0,Filler-D,62,13,kiállításukon.,ketüzulásőkon.,0,yes,1291,A festő azt mondta%2C hogy legszívesebben leköpte volna a szobrászt a legutóbbi közös kiállításukon.,1291
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,132,0,Expt-B,31,0,A,Ű,0,yes,1304,A patikus%2C aki a vevőt összezavarta a látogatás során%2C újraolvasta a receptet.,1304
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,132,0,Expt-B,31,1,patikus%2C,pépitun%2C,1,yes,940,A patikus%2C aki a vevőt összezavarta a látogatás során%2C újraolvasta a receptet.,940
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,132,0,Expt-B,31,2,aki,uki,0,yes,1114,A patikus%2C aki a vevőt összezavarta a látogatás során%2C újraolvasta a receptet.,1114
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,132,0,Expt-B,31,3,a,ü,1,yes,1229,A patikus%2C aki a vevőt összezavarta a látogatás során%2C újraolvasta a receptet.,1229
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,132,0,Expt-B,31,4,vevőt,rezőt,0,yes,935,A patikus%2C aki a vevőt összezavarta a látogatás során%2C újraolvasta a receptet.,935
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,132,0,Expt-B,31,5,összezavarta,állzésabanta,0,yes,952,A patikus%2C aki a vevőt összezavarta a látogatás során%2C újraolvasta a receptet.,952
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,132,0,Expt-B,31,6,a,ö,0,yes,822,A patikus%2C aki a vevőt összezavarta a látogatás során%2C újraolvasta a receptet.,822
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,132,0,Expt-B,31,7,látogatás,rábomatán,0,yes,1606,A patikus%2C aki a vevőt összezavarta a látogatás során%2C újraolvasta a receptet.,1606
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,132,0,Expt-B,31,8,során%2C,selák%2C,1,yes,935,A patikus%2C aki a vevőt összezavarta a látogatás során%2C újraolvasta a receptet.,935
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,132,0,Expt-B,31,9,újraolvasta,ízuholrasta,1,yes,1014,A patikus%2C aki a vevőt összezavarta a látogatás során%2C újraolvasta a receptet.,1014
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,132,0,Expt-B,31,10,a,é,1,yes,989,A patikus%2C aki a vevőt összezavarta a látogatás során%2C újraolvasta a receptet.,989
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,132,0,Expt-B,31,11,receptet.,vudeptat.,1,yes,939,A patikus%2C aki a vevőt összezavarta a látogatás során%2C újraolvasta a receptet.,939
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,0,Az,As,0,yes,677,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,677
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,1,a,o,0,yes,2515,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,2515
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,2,téveszme%2C,tóleszüm%2C,1,yes,899,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,899
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,3,hogy,bégy,1,yes,897,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,897
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,4,a,u,0,yes,1185,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,1185
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,5,nőgyógyász,nedzörrász,1,yes,877,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,877
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,6,megvetette,felnálette,0,yes,1354,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,1354
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,7,a,ö,1,yes,1319,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,1319
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,8,bábát%2C,fuhát%2C,1,yes,1737,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,1737
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,9,sok,súl,0,yes,1283,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,1283
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,10,beteget,börezel,1,yes,939,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,939
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,11,ijesztett,cuesztabb,0,yes,1008,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,1008
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,148,0,Filler-B,42,12,el.,űm.,1,yes,1091,Az a téveszme%2C hogy a nőgyógyász megvetette a bábát%2C sok beteget ijesztett el.,1091
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,78,0,Expt-D,17,0,A,É,0,yes,876,A szájhős%2C akit az osztálytársa provokált második óra előtt%2C kimagyarázta a helyzetet.,876
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,78,0,Expt-D,17,1,szájhős%2C,szovhúr%2C,0,yes,1485,A szájhős%2C akit az osztálytársa provokált második óra előtt%2C kimagyarázta a helyzetet.,1485
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,78,0,Expt-D,17,2,akit,atut,0,yes,1138,A szájhős%2C akit az osztálytársa provokált második óra előtt%2C kimagyarázta a helyzetet.,1138
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,78,0,Expt-D,17,3,az,éz,0,yes,919,A szájhős%2C akit az osztálytársa provokált második óra előtt%2C kimagyarázta a helyzetet.,919
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,78,0,Expt-D,17,4,osztálytársa,osztálltensa,0,yes,1158,A szájhős%2C akit az osztálytársa provokált második óra előtt%2C kimagyarázta a helyzetet.,1158
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,78,0,Expt-D,17,5,provokált,highokost,1,yes,1096,A szájhős%2C akit az osztálytársa provokált második óra előtt%2C kimagyarázta a helyzetet.,1096
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,78,0,Expt-D,17,6,második,tédozik,0,yes,2748,A szájhős%2C akit az osztálytársa provokált második óra előtt%2C kimagyarázta a helyzetet.,2748
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,78,0,Expt-D,17,7,óra,űna,1,yes,1318,A szájhős%2C akit az osztálytársa provokált második óra előtt%2C kimagyarázta a helyzetet.,1318
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,78,0,Expt-D,17,8,előtt%2C,alütt%2C,0,yes,960,A szájhős%2C akit az osztálytársa provokált második óra előtt%2C kimagyarázta a helyzetet.,960
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,78,0,Expt-D,17,9,kimagyarázta,kőbagyóranga,1,yes,1345,A szájhős%2C akit az osztálytársa provokált második óra előtt%2C kimagyarázta a helyzetet.,1345
1680627521,84a3c0891f02adc947b6a348718cff54,Maze,78,0,Expt-D,17,10,a,é,0,yes,808,A szájhős%2C akit az osztálytársa provokált második óra előtt%2C kimagyarázta a helyzetet.,808
