Subject,Condition,Item,Word,option.1,option2,side,correct,RT,fulltext,withredo
1,MatrixTheEver,16,7,be,ti,0,1,496,The protester that no guard believed to be kind will ever block a road outside the courthouse.,496
1,MatrixTheEver,16,8,kind,kile,1,1,601,The protester that no guard believed to be kind will ever block a road outside the courthouse.,601
1,MatrixTheEver,16,9,will,wist,1,1,567,The protester that no guard believed to be kind will ever block a road outside the courthouse.,567
1,MatrixTheEver,16,10,ever,iler,0,1,625,The protester that no guard believed to be kind will ever block a road outside the courthouse.,625
1,MatrixTheEver,16,11,block,drock,0,1,1112,The protester that no guard believed to be kind will ever block a road outside the courthouse.,1112
1,MatrixTheEver,16,12,a,e,1,1,608,The protester that no guard believed to be kind will ever block a road outside the courthouse.,608
1,MatrixTheEver,16,13,road,roud,0,1,672,The protester that no guard believed to be kind will ever block a road outside the courthouse.,672
1,MatrixTheEver,16,14,outside,outnade,1,1,600,The protester that no guard believed to be kind will ever block a road outside the courthouse.,600
1,MatrixTheEver,16,15,the,thi,1,1,503,The protester that no guard believed to be kind will ever block a road outside the courthouse.,503
1,MatrixTheEver,16,16,courthouse.,counthound.,0,1,752,The protester that no guard believed to be kind will ever block a road outside the courthouse.,752
1,MatrixNoEver,15,0,No,Vo,0,1,558,No librarian that the curator liked as a friend will ever review a book about famous authors.,558
1,MatrixNoEver,15,1,librarian,buplorian,1,1,703,No librarian that the curator liked as a friend will ever review a book about famous authors.,703
1,MatrixNoEver,15,2,that,quat,0,1,593,No librarian that the curator liked as a friend will ever review a book about famous authors.,593
1,MatrixNoEver,15,3,the,tho,1,1,624,No librarian that the curator liked as a friend will ever review a book about famous authors.,624
1,MatrixNoEver,15,4,curator,cucanir,1,1,664,No librarian that the curator liked as a friend will ever review a book about famous authors.,664
1,MatrixNoEver,15,5,liked,lints,1,1,488,No librarian that the curator liked as a friend will ever review a book about famous authors.,488
1,MatrixNoEver,15,6,as,aw,1,1,736,No librarian that the curator liked as a friend will ever review a book about famous authors.,736
1,MatrixNoEver,15,7,a,e,1,1,800,No librarian that the curator liked as a friend will ever review a book about famous authors.,800
1,MatrixNoEver,15,8,friend,frieks,1,1,560,No librarian that the curator liked as a friend will ever review a book about famous authors.,560
1,MatrixNoEver,15,9,will,wirs,0,1,616,No librarian that the curator liked as a friend will ever review a book about famous authors.,616
1,MatrixNoEver,15,10,ever,ixer,0,1,648,No librarian that the curator liked as a friend will ever review a book about famous authors.,648
1,MatrixNoEver,15,11,review,reveak,0,1,656,No librarian that the curator liked as a friend will ever review a book about famous authors.,656
1,MatrixNoEver,15,12,a,e,1,1,592,No librarian that the curator liked as a friend will ever review a book about famous authors.,592
1,MatrixNoEver,15,13,book,boof,1,1,697,No librarian that the curator liked as a friend will ever review a book about famous authors.,697
1,MatrixNoEver,15,14,about,aseet,0,1,639,No librarian that the curator liked as a friend will ever review a book about famous authors.,639
1,MatrixNoEver,15,15,famous,fanees,0,1,632,No librarian that the curator liked as a friend will ever review a book about famous authors.,632
1,MatrixNoEver,15,16,authors.,awplors.,0,1,816,No librarian that the curator liked as a friend will ever review a book about famous authors.,816
1,MatrixTheStill,25,0,The,Thi,0,1,647,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,647
1,MatrixTheStill,25,1,dancer,dorner,0,1,816,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,816
1,MatrixTheStill,25,2,that,thit,0,1,623,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,623
1,MatrixTheStill,25,3,no,na,0,1,600,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,600
1,MatrixTheStill,25,4,ballerina,bommerila,1,1,753,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,753
1,MatrixTheStill,25,5,trusted,chisted,0,1,768,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,768
1,MatrixTheStill,25,6,to,tu,0,1,560,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,560
1,MatrixTheStill,25,7,catch,cales,1,1,679,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,679
1,MatrixTheStill,25,8,her,hor,1,1,561,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,561
1,MatrixTheStill,25,9,will,wims,0,1,584,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,584
1,MatrixTheStill,25,10,still,stigs,1,1,576,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,576
1,MatrixTheStill,25,11,learn,leace,0,1,592,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,592
1,MatrixTheStill,25,12,the,que,0,1,592,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,592
1,MatrixTheStill,25,13,choreography,quoseecrathy,0,1,936,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,936
1,MatrixTheStill,25,14,for,fos,0,1,600,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,600
1,MatrixTheStill,25,15,the,que,0,1,704,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,704
1,MatrixTheStill,25,16,show.,clow.,1,1,928,The dancer that no ballerina trusted to catch her will still learn the choreography for the show.,928
1,MatrixNoStill,36,0,No,Nu,0,1,664,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,664
1,MatrixNoStill,36,1,prospector,protrictor,0,1,1128,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,1128
1,MatrixNoStill,36,2,that,thut,1,1,584,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,584
1,MatrixNoStill,36,3,the,whe,0,1,584,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,584
1,MatrixNoStill,36,4,cowboy,cowsom,0,1,592,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,592
1,MatrixNoStill,36,5,shared,shased,0,1,713,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,713
1,MatrixNoStill,36,6,a,e,1,1,640,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,640
1,MatrixNoStill,36,7,drink,drire,1,1,528,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,528
1,MatrixNoStill,36,8,with,wiss,1,1,600,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,600
1,MatrixNoStill,36,9,will,wips,0,1,632,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,632
1,MatrixNoStill,36,10,still,stell,1,1,585,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,585
1,MatrixNoStill,36,11,reveal,recial,1,1,559,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,559
1,MatrixNoStill,36,12,the,whe,0,1,585,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,585
1,MatrixNoStill,36,13,location,taration,0,1,569,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,569
1,MatrixNoStill,36,14,of,oy,0,1,600,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,600
1,MatrixNoStill,36,15,the,que,1,1,671,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,671
1,MatrixNoStill,36,16,gold.,golt.,1,1,625,No prospector that the cowboy shared a drink with will still reveal the location of the gold.,625
1,MatrixNoEver,27,0,No,Na,0,1,1207,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,1207
1,MatrixNoEver,27,1,foreman,finkman,0,1,1016,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,1016
1,MatrixNoEver,27,2,that,grat,1,1,768,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,768
1,MatrixNoEver,27,3,the,thi,1,1,600,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,600
1,MatrixNoEver,27,4,architect,arquitome,1,1,640,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,640
1,MatrixNoEver,27,5,believed,beriewed,0,1,680,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,680
1,MatrixNoEver,27,6,to,ro,0,1,544,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,544
1,MatrixNoEver,27,7,be,ti,0,1,480,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,480
1,MatrixNoEver,27,8,lazy,taky,1,1,624,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,624
1,MatrixNoEver,27,9,will,wist,1,1,576,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,576
1,MatrixNoEver,27,10,ever,uler,1,1,608,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,608
1,MatrixNoEver,27,11,lay,lak,0,1,944,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,944
1,MatrixNoEver,27,12,the,thi,0,1,584,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,584
1,MatrixNoEver,27,13,foundation,foollation,0,1,704,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,704
1,MatrixNoEver,27,14,for,fom,1,1,656,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,656
1,MatrixNoEver,27,15,the,thi,1,1,464,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,464
1,MatrixNoEver,27,16,skyscraper.,glyspliper.,1,1,752,No foreman that the architect believed to be lazy will ever lay the foundation for the skyscraper.,752
1,MatrixTheStill,1,0,The,Tha,0,1,527,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,527
1,MatrixTheStill,1,1,hunter,herter,1,1,672,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,672
1,MatrixTheStill,1,2,that,grat,0,1,631,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,631
1,MatrixTheStill,1,3,no,jo,0,1,753,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,753
1,MatrixTheStill,1,4,fisherman,hosterman,1,1,840,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,840
1,MatrixTheStill,1,5,trusted,prasted,0,1,800,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,800
1,MatrixTheStill,1,6,with,wich,0,1,592,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,592
1,MatrixTheStill,1,7,a,e,0,1,552,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,552
1,MatrixTheStill,1,8,secret,mescet,0,1,648,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,648
1,MatrixTheStill,1,9,will,wist,0,1,640,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,640
1,MatrixTheStill,1,10,still,stull,0,1,664,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,664
1,MatrixTheStill,1,11,shoot,shoat,1,1,704,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,704
1,MatrixTheStill,1,12,a,e,0,1,560,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,560
1,MatrixTheStill,1,13,bear,bour,0,1,528,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,528
1,MatrixTheStill,1,14,with,wich,1,1,560,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,560
1,MatrixTheStill,1,15,a,e,1,1,609,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,609
1,MatrixTheStill,1,16,bow.,bor.,1,1,631,The hunter that no fisherman trusted with a secret will still shoot a bear with a bow.,631
1,MatrixNoStill,12,0,No,Na,0,1,934,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,934
1,MatrixNoStill,12,1,tourist,teatist,0,1,688,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,688
1,MatrixNoStill,12,2,that,grat,1,1,1680,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,1680
1,MatrixNoStill,12,3,the,thi,1,1,600,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,600
1,MatrixNoStill,12,4,vendor,vennar,0,1,592,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,592
1,MatrixNoStill,12,5,tricked,brucked,0,1,809,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,809
1,MatrixNoStill,12,6,into,inni,1,1,495,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,495
1,MatrixNoStill,12,7,wasting,winting,1,1,640,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,640
1,MatrixNoStill,12,8,money,runey,0,1,497,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,497
1,MatrixNoStill,12,9,will,wist,1,1,527,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,527
1,MatrixNoStill,12,10,still,stull,1,1,608,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,608
1,MatrixNoStill,12,11,visit,jisil,0,1,552,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,552
1,MatrixNoStill,12,12,a,e,1,1,544,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,544
1,MatrixNoStill,12,13,temple,tupple,0,1,601,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,601
1,MatrixNoStill,12,14,while,whike,0,1,616,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,616
1,MatrixNoStill,12,15,on,en,1,1,679,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,679
1,MatrixNoStill,12,16,vacation.,noration.,1,1,585,No tourist that the vendor tricked into wasting money will still visit a temple while on vacation.,585
1,MatrixTheEver,34,0,The,Tha,0,1,671,The assistant that no magician allowed up on stage will ever cut a wire during a show.,671
1,MatrixTheEver,34,1,assistant,attostant,1,1,680,The assistant that no magician allowed up on stage will ever cut a wire during a show.,680
1,MatrixTheEver,34,2,that,thit,1,1,559,The assistant that no magician allowed up on stage will ever cut a wire during a show.,559
1,MatrixTheEver,34,3,no,jo,0,1,513,The assistant that no magician allowed up on stage will ever cut a wire during a show.,513
1,MatrixTheEver,34,4,magician,paficein,1,1,671,The assistant that no magician allowed up on stage will ever cut a wire during a show.,671
1,MatrixTheEver,34,5,allowed,allaque,0,1,592,The assistant that no magician allowed up on stage will ever cut a wire during a show.,592
1,MatrixTheEver,34,6,up,ur,1,1,552,The assistant that no magician allowed up on stage will ever cut a wire during a show.,552
1,MatrixTheEver,34,7,on,od,1,1,513,The assistant that no magician allowed up on stage will ever cut a wire during a show.,513
1,MatrixTheEver,34,8,stage,stabe,0,1,551,The assistant that no magician allowed up on stage will ever cut a wire during a show.,551
1,MatrixTheEver,34,9,will,wims,0,1,560,The assistant that no magician allowed up on stage will ever cut a wire during a show.,560
1,MatrixTheEver,34,10,ever,ixer,0,1,561,The assistant that no magician allowed up on stage will ever cut a wire during a show.,561
1,MatrixTheEver,34,11,cut,dut,0,1,711,The assistant that no magician allowed up on stage will ever cut a wire during a show.,711
1,MatrixTheEver,34,12,a,e,1,1,521,The assistant that no magician allowed up on stage will ever cut a wire during a show.,521
1,MatrixTheEver,34,13,wire,wirs,1,1,632,The assistant that no magician allowed up on stage will ever cut a wire during a show.,632
1,MatrixTheEver,34,14,during,soring,1,1,984,The assistant that no magician allowed up on stage will ever cut a wire during a show.,984
1,MatrixTheEver,34,15,a,e,1,1,479,The assistant that no magician allowed up on stage will ever cut a wire during a show.,479
1,MatrixTheEver,34,16,show.,clow.,1,1,592,The assistant that no magician allowed up on stage will ever cut a wire during a show.,592
1,BothTheEver,29,0,The,Tho,0,1,575,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,575
1,BothTheEver,29,1,programmer,proqueymer,1,1,633,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,633
1,BothTheEver,29,2,that,quat,0,1,575,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,575
1,BothTheEver,29,3,the,thi,0,1,528,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,528
1,BothTheEver,29,4,technician,tassmician,1,1,664,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,664
1,BothTheEver,29,5,predicted,preseshed,1,1,1128,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,1128
1,BothTheEver,29,6,would,wourn,0,1,648,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,648
1,BothTheEver,29,7,slip,spip,0,1,600,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,600
1,BothTheEver,29,8,up,ep,0,1,592,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,592
1,BothTheEver,29,9,will,wist,0,1,528,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,528
1,BothTheEver,29,10,ever,iler,1,1,616,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,616
1,BothTheEver,29,11,write,wrike,0,1,599,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,599
1,BothTheEver,29,12,a,e,0,1,624,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,624
1,BothTheEver,29,13,script,scrict,0,1,835,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,835
1,BothTheEver,29,14,to,ro,1,1,670,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,670
1,BothTheEver,29,15,automate,ahrogate,0,1,617,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,617
1,BothTheEver,29,16,tasks.,tarch.,1,1,599,The programmer that the technician predicted would slip up will ever write a script to automate tasks.,599
1,BothTheStill,20,0,The,Thi,0,1,583,The client that the banker identified by his accent will still repay a loan in record time.,583
1,BothTheStill,20,1,client,spiete,0,1,640,The client that the banker identified by his accent will still repay a loan in record time.,640
1,BothTheStill,20,2,that,thut,0,1,664,The client that the banker identified by his accent will still repay a loan in record time.,664
1,BothTheStill,20,3,the,whe,1,1,752,The client that the banker identified by his accent will still repay a loan in record time.,752
1,BothTheStill,20,4,banker,calder,1,1,536,The client that the banker identified by his accent will still repay a loan in record time.,536
1,BothTheStill,20,5,identified,ipontivaed,1,1,713,The client that the banker identified by his accent will still repay a loan in record time.,713
1,BothTheStill,20,6,by,ly,0,1,576,The client that the banker identified by his accent will still repay a loan in record time.,576
1,BothTheStill,20,7,his,hir,1,1,576,The client that the banker identified by his accent will still repay a loan in record time.,576
1,BothTheStill,20,8,accent,augent,1,1,624,The client that the banker identified by his accent will still repay a loan in record time.,624
1,BothTheStill,20,9,will,wips,0,1,560,The client that the banker identified by his accent will still repay a loan in record time.,560
1,BothTheStill,20,10,still,stull,1,1,560,The client that the banker identified by his accent will still repay a loan in record time.,560
1,BothTheStill,20,11,repay,revey,1,0,599,The client that the banker identified by his accent will still repay a loan in record time.,
1,BothTheStill,20,12,a,e,1,0,NA,The client that the banker identified by his accent will still repay a loan in record time.,
1,BothTheStill,20,13,loan,leen,1,0,NA,The client that the banker identified by his accent will still repay a loan in record time.,
1,BothTheStill,20,14,in,ir,0,0,NA,The client that the banker identified by his accent will still repay a loan in record time.,
1,BothTheStill,20,15,record,regods,1,0,NA,The client that the banker identified by his accent will still repay a loan in record time.,
1,BothTheStill,20,16,time.,tiss.,1,0,NA,The client that the banker identified by his accent will still repay a loan in record time.,
1,MatrixNoStill,30,0,No,Nu,0,1,630,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,630
1,MatrixNoStill,30,1,detective,deveotime,1,1,688,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,688
1,MatrixNoStill,30,2,that,thut,1,1,512,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,512
1,MatrixNoStill,30,3,the,whe,0,1,744,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,744
1,MatrixNoStill,30,4,fireman,fangman,0,1,513,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,513
1,MatrixNoStill,30,5,said,sact,0,1,775,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,775
1,MatrixNoStill,30,6,was,waw,1,1,592,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,592
1,MatrixNoStill,30,7,quite,quind,1,1,952,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,952
1,MatrixNoStill,30,8,stubborn,stemborn,1,1,872,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,872
1,MatrixNoStill,30,9,will,wips,1,1,576,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,576
1,MatrixNoStill,30,10,still,stell,1,1,593,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,593
1,MatrixNoStill,30,11,investigate,inrictimate,1,1,703,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,703
1,MatrixNoStill,30,12,the,whe,1,1,512,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,512
1,MatrixNoStill,30,13,fire,fint,1,1,536,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,536
1,MatrixNoStill,30,14,on,om,0,1,745,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,745
1,MatrixNoStill,30,15,main,mawl,0,1,847,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,847
1,MatrixNoStill,30,16,street.,streed.,1,1,864,No detective that the fireman said was quite stubborn will still investigate the fire on main street.,864
1,MatrixNoEver,9,0,No,Nu,0,1,846,No soldier that the general believed to be tough will ever wash a tank with floral soap.,846
1,MatrixNoEver,9,1,soldier,soltoor,1,1,736,No soldier that the general believed to be tough will ever wash a tank with floral soap.,736
1,MatrixNoEver,9,2,that,thut,1,1,440,No soldier that the general believed to be tough will ever wash a tank with floral soap.,440
1,MatrixNoEver,9,3,the,whe,1,1,399,No soldier that the general believed to be tough will ever wash a tank with floral soap.,399
1,MatrixNoEver,9,4,general,nunemal,1,1,529,No soldier that the general believed to be tough will ever wash a tank with floral soap.,529
1,MatrixNoEver,9,5,believed,berieged,0,1,664,No soldier that the general believed to be tough will ever wash a tank with floral soap.,664
1,MatrixNoEver,9,6,to,te,0,1,648,No soldier that the general believed to be tough will ever wash a tank with floral soap.,648
1,MatrixNoEver,9,7,be,le,1,1,520,No soldier that the general believed to be tough will ever wash a tank with floral soap.,520
1,MatrixNoEver,9,8,tough,toufs,1,1,512,No soldier that the general believed to be tough will ever wash a tank with floral soap.,512
1,MatrixNoEver,9,9,will,wips,0,1,496,No soldier that the general believed to be tough will ever wash a tank with floral soap.,496
1,MatrixNoEver,9,10,ever,ixer,1,1,536,No soldier that the general believed to be tough will ever wash a tank with floral soap.,536
1,MatrixNoEver,9,11,wash,wams,1,1,528,No soldier that the general believed to be tough will ever wash a tank with floral soap.,528
1,MatrixNoEver,9,12,a,e,0,1,672,No soldier that the general believed to be tough will ever wash a tank with floral soap.,672
1,MatrixNoEver,9,13,tank,taws,1,1,552,No soldier that the general believed to be tough will ever wash a tank with floral soap.,552
1,MatrixNoEver,9,14,with,wiss,0,1,664,No soldier that the general believed to be tough will ever wash a tank with floral soap.,664
1,MatrixNoEver,9,15,floral,spolal,0,1,1104,No soldier that the general believed to be tough will ever wash a tank with floral soap.,1104
1,MatrixNoEver,9,16,soap.,coap.,0,1,1160,No soldier that the general believed to be tough will ever wash a tank with floral soap.,1160
1,MatrixNoEver,3,0,No,Na,0,1,702,No musician that the artist recalled from the radio will ever win an award for a song.,702
